month,no_of_rainy_days,total_rainfall,mean_temp,mean_re_humid,year
03,16,269.4,27.7,85.8,2004
04,9,57.1,28.9,82.3,2004
05,13,137.6,28.9,82.1,2004
06,8,127.2,29.0,79.8,2004
07,20,166.6,27.3,85.3,2004
08,8,185.2,28.3,80.3,2004
09,14,128.9,27.8,83.6,2004
10,13,125.6,27.8,83.9,2004
11,15,166.2,27.3,86.1,2004
12,14,139.8,26.8,85.2,2004
01,8,163.2,26.6,83.3,2005
02,3,8.4,28.5,77.7,2005
03,12,82.4,28.5,80.3,2005
04,10,81.7,28.7,81.0,2005
05,20,331.1,28.5,84.6,2005
06,15,82.3,28.8,82.7,2005
07,15,104.0,28.0,84.0,2005
08,13,58.5,28.2,82.9,2005
09,18,175.7,28.2,84.2,2005
10,19,314.5,27.6,85.2,2005
11,23,362.9,27.3,86.4,2005
12,19,166.0,27.3,85.6,2005
01,20,454.4,26.5,87.8,2006
02,8,115.5,27.5,84.0,2006
03,9,83.1,28.3,81.3,2006
04,18,239.8,27.6,87.0,2006
05,14,205.7,28.1,85.2,2006
06,16,236.8,27.8,86.3,2006
07,15,153.8,28.4,83.8,2006
08,14,127.3,28.3,81.9,2006
09,12,83.3,28.0,81.0,2006
10,8,102.0,28.3,80.9,2006
11,18,185.6,27.3,87.4,2006
12,22,765.9,26.6,88.5,2006
01,20,450.1,26.5,86.8,2007
02,3,105.5,27.3,82.5,2007
03,21,269.1,27.5,84.9,2007
04,14,240.2,28.1,84.7,2007
05,16,127.2,28.3,84.8,2007
06,12,139.0,28.4,82.8,2007
07,19,141.7,27.7,84.8,2007
08,20,190.7,27.7,82.9,2007
09,13,149.0,27.8,83.3,2007
10,16,237.2,27.8,83.2,2007
11,21,367.9,26.9,86.5,2007
12,20,468.6,26.4,86.8,2007
01,19,262.6,26.8,86.0,2008
02,8,129.2,26.7,82.9,2008
03,16,294.1,26.5,87.1,2008
04,13,87.2,28.1,82.0,2008
05,11,124.9,28.8,79.1,2008
06,12,118.3,28.2,81.5,2008
07,15,89.1,27.8,81.3,2008
08,18,327.3,27.4,83.8,2008
09,18,164.4,27.7,82.7,2008
10,19,159.5,27.6,84.9,2008
11,16,324.3,27.3,85.9,2008
12,17,244.2,26.9,83.7,2008
